DATE,Station_ID,Predicted_TMIN,Actual_TMIN,Lower_Bound_TMIN,Upper_Bound_TMIN,Cold_Event_Probability
2025-02-19,USC00438169,-22.556253,-22.8,-22.936253,-22.176253000000003,0.0
2025-02-20,USC00438169,-22.299059,-22.2,-22.679059,-21.919059,0.0
2025-02-21,USC00438169,-15.005275,-14.4,-15.385275,-14.625274999999998,0.0
2025-02-22,USC00438169,-15.093031,-14.4,-15.473031,-14.713030999999999,0.0
2025-02-23,USC00438169,-12.646134,-11.7,-13.026134,-12.266134,0.0
2025-02-24,USC00438169,-7.511025,-7.2,-7.891025,-7.131025,0.0
2025-02-25,USC00438169,-5.593849,-5.6,-5.9738489999999995,-5.213849,0.0
2025-02-26,USC00438169,-2.3272774,-2.2,-2.7072773999999997,-1.9472774,0.0
2025-02-27,USC00438169,-9.279929,-9.4,-9.659929,-8.899928999999998,0.0
2025-02-28,USC00438169,-4.904438,-5.0,-5.284438,-4.524438,0.0
2025-01-01,USC00439988,0.2957819,0.6,-0.08421810000000002,0.6757819,0.0
2025-01-02,USC00439988,-3.1663876,-3.3,-3.5463876,-2.7863876000000003,0.0
2025-01-03,USC00439988,-6.425567,-6.1,-6.805567,-6.045567,0.0
2025-01-04,USC00439988,-11.957213,-12.2,-12.337213,-11.577212999999999,0.0
2025-01-05,USC00439988,-12.105291,-12.2,-12.485291,-11.725290999999999,0.0
2025-01-06,USC00439988,-17.828373,-17.8,-18.208372999999998,-17.448373,0.0
2025-01-07,USC00439988,-17.726515,-17.8,-18.106514999999998,-17.346515,0.0
2025-01-08,USC00439988,-14.172509,-14.4,-14.552509,-13.792508999999999,0.0
2025-01-09,USC00439988,-14.374336,-14.4,-14.754336,-13.994335999999999,0.0
2025-01-10,USC00439988,-12.76072,-12.8,-13.14072,-12.380719999999998,0.0
2025-01-11,USC00439988,-10.174437,-10.0,-10.554437,-9.794436999999999,0.0
2025-01-12,USC00439988,-9.855692,-9.4,-10.235692,-9.475691999999999,0.0
2025-01-13,USC00439988,-9.536294,-9.4,-9.916294,-9.156293999999999,0.0
2025-01-14,USC00439988,-9.697141,-9.4,-10.077141000000001,-9.317141,0.0
2025-01-15,USC00439988,-11.161987,-11.1,-11.541987,-10.781986999999999,0.0
2025-01-16,USC00439988,-14.261133,-14.4,-14.641133,-13.881132999999998,0.0
2025-01-17,USC00439988,-13.79926,-13.3,-14.179260000000001,-13.41926,0.0
