ID,YEAR,Month,ELEMENT,VALUE1,VALUE2,VALUE3,VALUE4,VALUE5,VALUE6,VALUE7,VALUE8,VALUE9,VALUE10,VALUE11,VALUE12,VALUE13,VALUE14,VALUE15,VALUE16,VALUE17,VALUE18,VALUE19,VALUE20,VALUE21,VALUE22,VALUE23,VALUE24,VALUE25,VALUE26,VALUE27,VALUE28,VALUE29,VALUE30,VALUE31
USC00277833,2025,3,TMIN,-44.0,-133.0,-172.0,,-83.0,-6.0,-56.0,-56.0,-56.0,-50.0,-39.0,-17.0,-39.0,-56.0,-44.0,-17.0,61.0,-17.0,-39.0,-22.0,28.0,-28.0,-67.0,-67.0,-44.0,,,,,,
USC00278539,2025,2,TMIN,,,,-67.0,-133.0,-189.0,-161.0,,,,-167.0,-167.0,-167.0,-67.0,,,,,-150.0,-178.0,-172.0,,,,-28.0,-11.0,,-17.0,,,
USC00278539,2025,3,TMIN,,,,-172.0,-83.0,,,,,,-50.0,-50.0,-56.0,-50.0,,,,-17.0,-33.0,-33.0,33.0,,,,-17.0,,,,,,
USC00278614,2025,2,TMIN,-83.0,-250.0,-250.0,-83.0,-206.0,-222.0,-211.0,-128.0,-122.0,-139.0,-217.0,-217.0,-172.0,-78.0,-178.0,-172.0,-94.0,-117.0,-167.0,-200.0,-200.0,-144.0,-144.0,-50.0,-44.0,-39.0,-56.0,-39.0,,,
USC00278614,2025,3,TMIN,-56.0,-139.0,-194.0,-189.0,-100.0,-17.0,-61.0,-56.0,-44.0,-56.0,-28.0,-17.0,-61.0,-67.0,-72.0,-33.0,28.0,-22.0,-44.0,-44.0,17.0,-17.0,-61.0,-56.0,-72.0,,,,,,
USC00278856,2025,2,TMIN,-56.0,-206.0,-206.0,-83.0,-133.0,-183.0,-167.0,-72.0,-67.0,-78.0,-150.0,-150.0,-133.0,-67.0,-133.0,-133.0,-72.0,-106.0,-144.0,-150.0,-150.0,-117.0,-117.0,-28.0,-22.0,6.0,-11.0,-11.0,,,
USC00278856,2025,3,TMIN,-33.0,-128.0,-172.0,-167.0,-61.0,22.0,-44.0,-44.0,-61.0,-44.0,-39.0,-33.0,-22.0,-44.0,-33.0,28.0,61.0,-17.0,-33.0,-22.0,33.0,-28.0,-56.0,-56.0,-6.0,,,,,,
USC00278961,2025,2,TMIN,,-256.0,-250.0,-78.0,-167.0,-228.0,-217.0,-106.0,-100.0,-139.0,,-183.0,,,-161.0,-161.0,-78.0,-144.0,-161.0,-217.0,-211.0,-128.0,-122.0,-61.0,-56.0,-44.0,-67.0,-39.0,,,
USC00278961,2025,3,TMIN,-72.0,,-217.0,-217.0,-111.0,-28.0,-94.0,-94.0,-72.0,-67.0,-39.0,-39.0,-67.0,-72.0,-56.0,-17.0,33.0,-39.0,-33.0,-17.0,-6.0,-44.0,-94.0,-89.0,-44.0,,,,,,
USC00279091,2025,2,TMIN,,,,-78.0,-172.0,-244.0,-239.0,,,,,,-189.0,,,-167.0,-106.0,-144.0,,,,,,,,,-56.0,-50.0,,,
