DATE,ID,TMIN
2025-03-11,USC00278614,-28.0
2025-03-12,USC00278614,-17.0
2025-03-13,USC00278614,-61.0
2025-03-14,USC00278614,-67.0
2025-03-15,USC00278614,-72.0
2025-03-16,USC00278614,-33.0
2025-03-17,USC00278614,28.0
2025-03-18,USC00278614,-22.0
2025-03-19,USC00278614,-44.0
2025-03-20,USC00278614,-44.0
2025-03-21,USC00278614,17.0
2025-03-22,USC00278614,-17.0
2025-03-23,USC00278614,-61.0
2025-03-24,USC00278614,-56.0
2025-03-25,USC00278614,-72.0
2025-02-01,USC00278856,-56.0
2025-02-02,USC00278856,-206.0
2025-02-03,USC00278856,-206.0
2025-02-04,USC00278856,-83.0
2025-02-05,USC00278856,-133.0
2025-02-06,USC00278856,-183.0
2025-02-07,USC00278856,-167.0
2025-02-08,USC00278856,-72.0
2025-02-09,USC00278856,-67.0
2025-02-10,USC00278856,-78.0
2025-02-11,USC00278856,-150.0
2025-02-12,USC00278856,-150.0
2025-02-13,USC00278856,-133.0
2025-02-14,USC00278856,-67.0
2025-02-15,USC00278856,-133.0
2025-02-16,USC00278856,-133.0
2025-02-17,USC00278856,-72.0
2025-02-18,USC00278856,-106.0
2025-02-19,USC00278856,-144.0
2025-02-20,USC00278856,-150.0
2025-02-21,USC00278856,-150.0
2025-02-22,USC00278856,-117.0
2025-02-23,USC00278856,-117.0
2025-02-24,USC00278856,-28.0
2025-02-25,USC00278856,-22.0
2025-02-26,USC00278856,6.0
2025-02-27,USC00278856,-11.0
2025-02-28,USC00278856,-11.0
2025-03-01,USC00278856,-33.0
2025-03-02,USC00278856,-128.0
2025-03-03,USC00278856,-172.0
2025-03-04,USC00278856,-167.0
2025-03-05,USC00278856,-61.0
2025-03-06,USC00278856,22.0
2025-03-07,USC00278856,-44.0
2025-03-08,USC00278856,-44.0
2025-03-09,USC00278856,-61.0
2025-03-10,USC00278856,-44.0
2025-03-11,USC00278856,-39.0
2025-03-12,USC00278856,-33.0
2025-03-13,USC00278856,-22.0
2025-03-14,USC00278856,-44.0
2025-03-15,USC00278856,-33.0
2025-03-16,USC00278856,28.0
2025-03-17,USC00278856,61.0
2025-03-18,USC00278856,-17.0
2025-03-19,USC00278856,-33.0
2025-03-20,USC00278856,-22.0
2025-03-21,USC00278856,33.0
2025-03-22,USC00278856,-28.0
2025-03-23,USC00278856,-56.0
2025-03-24,USC00278856,-56.0
2025-03-25,USC00278856,-6.0
2025-02-02,USC00278961,-256.0
2025-02-03,USC00278961,-250.0
2025-02-04,USC00278961,-78.0
2025-02-05,USC00278961,-167.0
2025-02-06,USC00278961,-228.0
2025-02-07,USC00278961,-217.0
2025-02-08,USC00278961,-106.0
2025-02-09,USC00278961,-100.0
2025-02-10,USC00278961,-139.0
2025-02-12,USC00278961,-183.0
2025-02-15,USC00278961,-161.0
2025-02-16,USC00278961,-161.0
2025-02-17,USC00278961,-78.0
2025-02-18,USC00278961,-144.0
2025-02-19,USC00278961,-161.0
2025-02-20,USC00278961,-217.0
2025-02-21,USC00278961,-211.0
2025-02-22,USC00278961,-128.0
2025-02-23,USC00278961,-122.0
2025-02-24,USC00278961,-61.0
2025-02-25,USC00278961,-56.0
2025-02-26,USC00278961,-44.0
2025-02-27,USC00278961,-67.0
2025-02-28,USC00278961,-39.0
2025-03-01,USC00278961,-72.0
2025-03-03,USC00278961,-217.0
2025-03-04,USC00278961,-217.0
2025-03-05,USC00278961,-111.0
2025-03-06,USC00278961,-28.0
2025-03-07,USC00278961,-94.0
2025-03-08,USC00278961,-94.0
2025-03-09,USC00278961,-72.0
2025-03-10,USC00278961,-67.0
2025-03-11,USC00278961,-39.0
2025-03-12,USC00278961,-39.0
2025-03-13,USC00278961,-67.0
2025-03-14,USC00278961,-72.0
2025-03-15,USC00278961,-56.0
2025-03-16,USC00278961,-17.0
2025-03-17,USC00278961,33.0
2025-03-18,USC00278961,-39.0
2025-03-19,USC00278961,-33.0
2025-03-20,USC00278961,-17.0
2025-03-21,USC00278961,-6.0
2025-03-22,USC00278961,-44.0
2025-03-23,USC00278961,-94.0
2025-03-24,USC00278961,-89.0
2025-03-25,USC00278961,-44.0
2025-02-04,USC00279091,-78.0
2025-02-05,USC00279091,-172.0
2025-02-06,USC00279091,-244.0
2025-02-07,USC00279091,-239.0
2025-02-13,USC00279091,-189.0
2025-02-16,USC00279091,-167.0
2025-02-17,USC00279091,-106.0
2025-02-18,USC00279091,-144.0
2025-02-27,USC00279091,-56.0
2025-02-28,USC00279091,-50.0
2025-03-01,USC00279091,-56.0
2025-03-02,USC00279091,-156.0
2025-03-03,USC00279091,-183.0
2025-03-11,USC00279091,-44.0
2025-03-12,USC00279091,-39.0
2025-03-19,USC00279091,-50.0
2025-02-01,USC00279278,-22.0
