DATE,ID,PRCP
2025-03-23,US1NHCH0024,20.0
2025-03-24,US1NHCH0024,0.0
2025-03-25,US1NHCH0024,122.0
2025-02-01,US1NHCH0026,127.0
2025-02-02,US1NHCH0026,0.0
2025-02-03,US1NHCH0026,36.0
2025-02-04,US1NHCH0026,8.0
2025-02-05,US1NHCH0026,0.0
2025-02-06,US1NHCH0026,0.0
2025-02-07,US1NHCH0026,79.0
2025-02-08,US1NHCH0026,0.0
2025-02-09,US1NHCH0026,145.0
2025-02-10,US1NHCH0026,0.0
2025-02-11,US1NHCH0026,5.0
2025-02-13,US1NHCH0026,25.0
2025-02-14,US1NHCH0026,38.0
2025-02-15,US1NHCH0026,0.0
2025-02-16,US1NHCH0026,117.0
2025-02-17,US1NHCH0026,244.0
2025-02-18,US1NHCH0026,0.0
2025-02-19,US1NHCH0026,0.0
2025-02-20,US1NHCH0026,0.0
2025-02-21,US1NHCH0026,0.0
2025-02-22,US1NHCH0026,0.0
2025-02-23,US1NHCH0026,0.0
2025-02-24,US1NHCH0026,0.0
2025-02-25,US1NHCH0026,0.0
2025-02-26,US1NHCH0026,0.0
2025-02-27,US1NHCH0026,13.0
2025-02-28,US1NHCH0026,142.0
2025-03-01,US1NHCH0026,5.0
2025-03-02,US1NHCH0026,0.0
2025-03-03,US1NHCH0026,0.0
2025-03-04,US1NHCH0026,0.0
2025-03-05,US1NHCH0026,0.0
2025-03-06,US1NHCH0026,257.0
2025-03-07,US1NHCH0026,0.0
2025-03-08,US1NHCH0026,0.0
2025-03-09,US1NHCH0026,0.0
2025-03-12,US1NHCH0026,0.0
2025-03-13,US1NHCH0026,0.0
2025-03-14,US1NHCH0026,0.0
2025-03-15,US1NHCH0026,0.0
2025-03-16,US1NHCH0026,3.0
2025-03-17,US1NHCH0026,272.0
2025-03-18,US1NHCH0026,84.0
2025-03-19,US1NHCH0026,0.0
2025-03-20,US1NHCH0026,3.0
2025-03-21,US1NHCH0026,89.0
2025-03-22,US1NHCH0026,15.0
2025-03-23,US1NHCH0026,13.0
2025-03-24,US1NHCH0026,0.0
2025-03-25,US1NHCH0026,109.0
2025-02-01,US1NHCH0027,132.0
2025-02-02,US1NHCH0027,0.0
2025-02-03,US1NHCH0027,38.0
2025-02-04,US1NHCH0027,5.0
2025-02-05,US1NHCH0027,0.0
2025-02-06,US1NHCH0027,0.0
2025-02-07,US1NHCH0027,84.0
2025-02-08,US1NHCH0027,0.0
2025-02-09,US1NHCH0027,140.0
2025-02-10,US1NHCH0027,3.0
2025-02-11,US1NHCH0027,3.0
2025-02-12,US1NHCH0027,0.0
2025-02-13,US1NHCH0027,46.0
2025-02-14,US1NHCH0027,61.0
2025-02-15,US1NHCH0027,0.0
2025-02-16,US1NHCH0027,150.0
2025-02-19,US1NHCH0027,0.0
2025-02-20,US1NHCH0027,0.0
2025-02-21,US1NHCH0027,0.0
2025-02-22,US1NHCH0027,0.0
2025-02-23,US1NHCH0027,0.0
2025-02-24,US1NHCH0027,0.0
2025-02-25,US1NHCH0027,0.0
2025-02-26,US1NHCH0027,0.0
2025-02-27,US1NHCH0027,23.0
2025-02-28,US1NHCH0027,114.0
2025-03-01,US1NHCH0027,5.0
2025-03-10,US1NHCH0027,0.0
2025-03-11,US1NHCH0027,0.0
2025-03-12,US1NHCH0027,0.0
2025-03-13,US1NHCH0027,0.0
2025-03-14,US1NHCH0027,0.0
2025-03-15,US1NHCH0027,0.0
2025-03-16,US1NHCH0027,0.0
2025-03-17,US1NHCH0027,218.0
2025-03-18,US1NHCH0027,53.0
2025-03-19,US1NHCH0027,0.0
2025-03-20,US1NHCH0027,0.0
2025-03-21,US1NHCH0027,94.0
2025-03-22,US1NHCH0027,18.0
2025-03-23,US1NHCH0027,10.0
2025-03-24,US1NHCH0027,0.0
2025-03-25,US1NHCH0027,112.0
2025-02-01,US1NHCH0031,160.0
2025-02-02,US1NHCH0031,0.0
2025-02-03,US1NHCH0031,51.0
2025-02-04,US1NHCH0031,8.0
2025-02-05,US1NHCH0031,0.0
2025-02-06,US1NHCH0031,0.0
2025-02-07,US1NHCH0031,94.0
2025-02-08,US1NHCH0031,0.0
2025-02-09,US1NHCH0031,142.0
2025-02-10,US1NHCH0031,3.0
2025-02-11,US1NHCH0031,0.0
2025-02-12,US1NHCH0031,0.0
2025-02-13,US1NHCH0031,58.0
2025-02-14,US1NHCH0031,94.0
2025-02-15,US1NHCH0031,0.0
2025-02-16,US1NHCH0031,160.0
2025-02-17,US1NHCH0031,295.0
2025-02-18,US1NHCH0031,0.0
2025-02-19,US1NHCH0031,0.0
2025-02-20,US1NHCH0031,0.0
2025-02-21,US1NHCH0031,0.0
2025-02-22,US1NHCH0031,0.0
2025-02-23,US1NHCH0031,0.0
2025-02-24,US1NHCH0031,0.0
2025-02-25,US1NHCH0031,0.0
2025-02-26,US1NHCH0031,0.0
2025-02-27,US1NHCH0031,28.0
2025-02-28,US1NHCH0031,109.0
2025-03-01,US1NHCH0031,5.0
2025-03-02,US1NHCH0031,0.0
2025-03-03,US1NHCH0031,0.0
2025-03-04,US1NHCH0031,0.0
2025-03-05,US1NHCH0031,0.0
2025-03-06,US1NHCH0031,282.0
2025-03-07,US1NHCH0031,0.0
2025-03-08,US1NHCH0031,0.0
2025-03-11,US1NHCH0031,0.0
2025-03-12,US1NHCH0031,0.0
2025-03-13,US1NHCH0031,0.0
2025-03-14,US1NHCH0031,0.0
2025-03-15,US1NHCH0031,0.0
2025-03-16,US1NHCH0031,3.0
2025-03-17,US1NHCH0031,201.0
2025-03-18,US1NHCH0031,51.0
2025-03-19,US1NHCH0031,0.0
2025-03-20,US1NHCH0031,0.0
2025-03-24,US1NHCH0031,0.0
2025-03-25,US1NHCH0031,114.0
2025-02-01,US1NHCH0032,130.0
2025-02-03,US1NHCH0032,36.0
2025-02-11,US1NHCH0032,0.0
2025-02-21,US1NHCH0032,0.0
2025-02-22,US1NHCH0032,0.0
2025-02-23,US1NHCH0032,0.0
2025-02-24,US1NHCH0032,0.0
2025-02-25,US1NHCH0032,0.0
2025-02-26,US1NHCH0032,0.0
2025-02-27,US1NHCH0032,86.0
2025-02-28,US1NHCH0032,15.0
2025-03-01,US1NHCH0032,8.0
2025-03-02,US1NHCH0032,0.0
2025-03-03,US1NHCH0032,0.0
2025-03-04,US1NHCH0032,0.0
2025-03-05,US1NHCH0032,10.0
2025-03-06,US1NHCH0032,246.0
2025-03-07,US1NHCH0032,0.0
2025-03-08,US1NHCH0032,0.0
2025-03-09,US1NHCH0032,0.0
2025-03-10,US1NHCH0032,0.0
2025-03-11,US1NHCH0032,0.0
